               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10797,            0.071442,            0.025573,                   0,                   0,                   0,                   0,                   0,              0.0158,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.081917,             0.07459,             0.01604,                   0,                   0,                   0,                   0,                   0,            0.028372,                   0,            0.040364,            0.006336,            0.006336
                   2,            0.073478,            0.069993,            0.011842,                   0,                   0,                   0,                   0,                   0,              0.0212,                   0,           0.0098385,           0.0091441,           0.0091441
                   3,            0.067392,            0.067674,           0.0096527,                   0,                   0,                   0,                   0,                   0,            0.025089,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.060577,            0.063319,           0.0083816,                   0,                   0,                   0,                   0,                   0,            0.023973,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.056162,            0.062461,           0.0079049,                   0,                   0,                   0,                   0,                   0,            0.017079,                   0,            0.008416,            0.008416,            0.008416
                   6,             0.05364,            0.057655,           0.0073825,                   0,                   0,                   0,                   0,                   0,             0.01353,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.051546,             0.05871,           0.0073979,                   0,                   0,                   0,                   0,                   0,            0.016464,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.050296,            0.056735,           0.0069054,                   0,                   0,                   0,                   0,                   0,            0.020875,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.049002,            0.055944,           0.0066478,                   0,                   0,                   0,                   0,                   0,             0.01661,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.047518,             0.05415,           0.0065687,                   0,                   0,                   0,                   0,                   0,            0.015977,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.046841,            0.053306,           0.0062264,                   0,                   0,                   0,                   0,                   0,            0.015313,                   0,             0.00604,             0.00604,             0.00604
                  12,             0.04689,            0.052523,           0.0059683,                   0,                   0,                   0,                   0,                   0,            0.016072,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.045251,            0.053012,           0.0056691,                   0,                   0,                   0,                   0,                   0,            0.016494,                   0,            0.005248,            0.005248,            0.005248
                   0,             0.10803,            0.071303,            0.025806,                   0,                   0,                   0,                   0,                   0,            0.018996,                   0,            0.070638,           0.0032624,           0.0032624
                   1,            0.082591,             0.07377,            0.016428,                   0,                   0,                   0,                   0,                   0,            0.039991,                   0,            0.040377,           0.0063346,           0.0063346
                   2,            0.074531,            0.067663,            0.011788,                   0,                   0,                   0,                   0,                   0,            0.034181,                   0,           0.0098519,           0.0091427,           0.0091427
                   3,            0.068193,            0.066505,           0.0095306,                   0,                   0,                   0,                   0,                   0,            0.030266,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.060991,            0.060322,           0.0086081,                   0,                   0,                   0,                   0,                   0,            0.030134,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.057246,            0.063028,           0.0080749,                   0,                   0,                   0,                   0,                   0,            0.023101,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.054524,            0.060006,           0.0075532,                   0,                   0,                   0,                   0,                   0,            0.019061,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.051837,            0.058965,           0.0072984,                   0,                   0,                   0,                   0,                   0,            0.024476,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.050643,            0.060119,           0.0069325,                   0,                   0,                   0,                   0,                   0,            0.025087,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.049276,            0.055046,           0.0067965,                   0,                   0,                   0,                   0,                   0,            0.024412,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.048137,            0.054377,           0.0063588,                   0,                   0,                   0,                   0,                   0,            0.022731,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.047939,            0.054964,           0.0063064,                   0,                   0,                   0,                   0,                   0,            0.018852,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.045963,            0.053746,           0.0062488,                   0,                   0,                   0,                   0,                   0,            0.022033,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.045746,            0.052748,           0.0060424,                   0,                   0,                   0,                   0,                   0,            0.020351,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.044661,             0.05215,           0.0058718,                   0,                   0,                   0,                   0,                   0,            0.026723,                   0,            0.004852,            0.004852,            0.004852
